ligand,5-HT1A,5-HT2A,5-HT2B,5-HT2C,CB1,CB2,D1,D2,DAT,KOR,MOR,NET,SERT
2C-B,0.748202762630727,0.3111344657439682,-0.11329776748705728,0.9138642291538991,-0.06830069694624777,0.5263768381241237,-0.07126338377784194,0.864197701278638,-0.10514195108834118,-0.13379004593631544,0.25344097100958973,-1.0326820754687487,-0.394793290120645
2C-E,0.016014910612836074,1.522958889198459,-0.38325051065518506,-1.152657569505529,0.3074079286880912,1.705108540739516,-1.0401284544063705,0.03958148121691518,-0.0012496335624465123,-0.7552559218254307,-1.1181815998902012,0.6095258936488503,-0.3648025742223284
2C-I,-0.49843898716843693,1.1328407593535283,-0.25623030567975713,0.9938325545004677,-0.5221355218234434,1.2220657460984155,-0.3750828077219914,0.04379017788994433,0.9721759805025932,-0.6087093644859017,1.336635848079408,2.8786597249329495,0.0035601206168327567
5-MeO-DMT,-0.043376597489612326,0.1610385780286717,-0.6382845825936336,0.7600036140788148,-0.6655272199083864,0.03693686919300927,-1.1355538864703667,0.6113985819288512,2.2721514379077083,0.30864400535080155,-0.07597367664173564,1.679372324854154,0.3722775878706155
Amphetamine,-0.3720952295711134,-0.9313470092591418,1.192465515375273,1.1402050364005256,-0.6384866837487821,-1.2465088187739977,-0.971938112529331,0.9546772800293575,-1.1578479459228364,0.4773773256936896,0.33544269468424703,0.08885228186899208,-0.1475644950782968
Cocaine,1.1000539250369152,1.1770754040548352,-0.16694284343330631,1.0925791238448996,1.4720920095462315,-1.595643819735891,1.7957714661114592,0.14313790517180422,-1.6096879968570559,0.8831408717033703,-1.248664467093413,0.17112083875732018,0.16135281162765638
DMT,-0.07639961039868884,1.3429498081626936,0.5632646260568376,-0.20273115210093431,-0.7573984328118459,-0.7739313144548169,-0.882256614862202,-1.3997990049556222,0.42574368863534046,-1.3078890030347257,-1.5125390759962176,0.31645516989662065,0.8244599240314145
GHB,-1.3862174402645933,-0.5741384383411391,-1.7003304400419224,-0.8574534474916693,-1.5693473968350673,0.1378491532371603,-0.12498038304111174,-0.1891657124955854,1.750882024348064,1.578694679836411,-0.8179467163182844,-0.7509190650613705,1.2145185686438473
Ibogaine,-0.56910198842424,-2.0432381292410975,0.1849507172324296,-0.6622850703267693,2.1854123528099065,1.3071195671346614,1.4730376259518103,0.42330673590633255,-0.07465587575205725,1.6115824980249251,-0.535084486131602,-0.123209164047762,1.4094277676766056
Ketamine,-0.3457509534519085,0.3019441409449493,0.17955529708595,0.9561557262456957,1.1014522458428255,0.0004032546844528679,0.7884918252232486,-0.1961102121454471,-0.48811491074646934,0.17105340193286162,-0.5651597033494762,0.5596589479018738,-1.8484767574111984
LSD,1.1370612518543828,-0.5074612046384941,-0.7551411527599704,-1.049072289030117,0.8591250920560034,-0.1420130729824244,1.8491298160672118,1.1300736755818988,-1.2278039030872105,1.3338356116579817,1.26246276961833,-0.14316202422472657,1.1780554472684386
MDA,1.0195585030106713,-1.2955176944746538,0.13054020505266492,-0.59124551887257,1.0438643558367118,-0.6193492320169418,-0.5863695058793343,-0.8399416098154154,-1.4579615139982842,0.3963897595296917,0.9183204508811194,0.5813574192874267,-1.6432569344440733
MDMA,-1.1246916202466943,-0.8524179196814508,0.16848596787160605,-1.3854841286395325,-1.234128914106108,0.8071498898135411,0.5612151342425966,-0.3424032379748594,0.2058403884588702,-1.7796130243731492,0.46801067078967085,-1.069522429508171,0.3298373577771619
Mescaline,-0.3436378174249535,1.0188328358485579,-0.3532971546108882,1.1208296809623697,-0.7237026658278947,-0.5021101886163521,-1.6933632647438739,-1.1328260369823329,-0.32616328535576067,-0.5150464990148395,0.7639427031822034,-0.586546585733468,-0.9230340962764455
Methamphetamine,-0.5618252178570097,-1.2794451235731414,-0.6149940387952235,-0.927007822292508,-0.42845895066050926,-0.5657394804652551,-0.006912117633880217,-0.046373490253605994,0.01859727950244366,-0.19121984053594313,1.0663950084486697,-1.12915325117822,-0.4014335441202454
Morphine,-1.4265260623946177,0.44665235197930414,-0.6965069576426908,-1.0604172629627093,0.732074359197192,1.901697300279586,-0.6163002748221332,0.7413351102354893,0.24970840137679007,0.6938953102725437,-0.16450474611770471,-0.9333792744808319,1.598002507824048
PCP,2.6807080499296316,0.15908037435805006,3.303888603101993,1.3813878567403917,-0.9347045327585027,-0.8885465869359138,0.17819614200792158,2.097340559936864,-0.3908504044151538,0.25980363785327937,-1.9833567636079088,-0.3528000660112666,0.4018411333299026
Psilocin,-0.3060545243899022,0.12191350421848537,0.22457287635528558,0.4786280795321105,-0.30809866113029233,-0.6258739770883289,0.39491233851144286,-2.221173212813031,0.5601281079854908,-0.8801854222240136,0.7242215720425265,-0.4736580777497308,-0.3976603402672901
Salvinorin_A,0.35251664600660637,-0.2128555926823844,-0.2694480544325663,-0.9491316402380665,0.1488613325802467,-0.6849906682354219,0.4633944577723631,-0.6810466917399577,0.38425011206900483,-1.5427079804244854,0.892538546411717,-0.2899705876837134,-1.3723111947263518
